[01:16:00] [INFO] received Windows console close event; shutting log-core down
[01:19:03] [INFO] received Windows console close event; shutting log-core down
[01:52:40] [INFO] received Windows console close event; shutting log-core down
[02:26:09] [INFO] received Windows console close event; shutting log-core down
[02:28:59] [INFO] received Windows console close event; shutting log-core down
[00:20:58] [INFO] received Windows console close event; shutting log-core down
[00:22:37] [INFO] received Windows console close event; shutting log-core down
[00:24:42] [INFO] received Windows console close event; shutting log-core down
[00:28:24] [INFO] received Windows console close event; shutting log-core down
[00:30:35] [INFO] received Windows console close event; shutting log-core down
[00:37:30] [INFO] received Windows console close event; shutting log-core down
[00:38:23] [INFO] received Windows console close event; shutting log-core down
[00:41:36] [INFO] received Windows console close event; shutting log-core down
[00:42:26] [INFO] received Windows console close event; shutting log-core down
[00:51:25] [INFO] received Windows console close event; shutting log-core down
[00:53:18] [INFO] received Windows console close event; shutting log-core down
[01:24:06] [INFO] received Windows console close event; shutting log-core down
[01:38:35] [INFO] received Windows console close event; shutting log-core down
[13:28:55] [INFO] received Windows console close event; shutting log-core down
[13:32:36] [INFO] received Windows console close event; shutting log-core down
[13:34:09] [INFO] received Windows console close event; shutting log-core down
[13:36:47] [INFO] received Windows console close event; shutting log-core down
[13:42:15] [INFO] received Windows console close event; shutting log-core down
[13:44:43] [INFO] received Windows console close event; shutting log-core down
[13:45:51] [INFO] received Windows console close event; shutting log-core down
[13:48:35] [INFO] received Windows console close event; shutting log-core down
[13:49:52] [INFO] received Windows console close event; shutting log-core down
[14:52:48] [INFO] received Windows console close event; shutting log-core down
[14:54:35] [INFO] received Windows console close event; shutting log-core down
[14:58:07] [INFO] received Windows console close event; shutting log-core down
[15:00:19] [INFO] received Windows console close event; shutting log-core down
[15:06:37] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:07:46] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:13:15] [ERROR] exception 0XC0000005 (ACCESS_VIOLATION) from Vectored Exception Handler catched; shutting log-core down
[15:50:10] [INFO] received Windows console close event; shutting log-core down
[16:09:45] [INFO] received Windows console close event; shutting log-core down
[16:11:13] [INFO] received Windows console close event; shutting log-core down
[17:39:11] [INFO] received Windows console close event; shutting log-core down
[17:45:07] [INFO] received Windows console close event; shutting log-core down
[17:51:14] [INFO] received Windows console close event; shutting log-core down
[18:01:49] [INFO] received Windows console close event; shutting log-core down
[18:03:46] [INFO] received Windows console close event; shutting log-core down
[18:06:49] [INFO] received Windows console close event; shutting log-core down
[18:12:03] [INFO] received Windows console close event; shutting log-core down
[23:22:58] [INFO] received Windows console close event; shutting log-core down
[23:28:35] [INFO] received Windows console close event; shutting log-core down
[23:31:18] [INFO] received Windows console close event; shutting log-core down
[23:38:03] [INFO] received Windows console close event; shutting log-core down
[23:40:08] [INFO] received Windows console close event; shutting log-core down
